Source,Target,Type,Id,Label,timeset,Weight,based_on_page
1212,1588,Undirected,392,,,1,XXV:303r
1212,1669,Undirected,393,,,1,XXV:303r
1217,1343,Undirected,394,,,1,XXV:303r
1217,1586,Undirected,395,,,1,XXV:303r
1217,1588,Undirected,396,,,1,XXV:303r
1217,1669,Undirected,397,,,1,XXV:303r
1343,1586,Undirected,398,,,1,XXV:303r
1343,1588,Undirected,399,,,1,XXV:303r
1343,1669,Undirected,400,,,1,XXV:303r
1586,1588,Undirected,401,,,1,XXV:303r
1586,1669,Undirected,402,,,1,XXV:303r
1588,1669,Undirected,403,,,1,XXV:303r
268,453,Undirected,404,,,1,XXV:119r
268,1256,Undirected,405,,,4,XXV:107v
268,1295,Undirected,406,,,1,XXV:119r
268,1732,Undirected,407,,,3,XXV:49r
453,1295,Undirected,409,,,1,XXV:119r
89,744,Undirected,414,,,3,XXVI:33v
89,1077,Undirected,415,,,3,XXVI:33v
89,1200,Undirected,416,,,5,XXVI:39r
89,1450,Undirected,417,,,2,XXVI:24v
89,1533,Undirected,418,,,1,XXVI:24r
89,1557,Undirected,419,,,3,XXVI:37r
89,1735,Undirected,420,,,15,XXVI:33v
744,1077,Undirected,421,,,3,XXVI:33v
744,1200,Undirected,422,,,1,XXVI:24r
744,1450,Undirected,423,,,1,XXVI:24r
744,1533,Undirected,424,,,1,XXVI:24r
744,1557,Undirected,425,,,1,XXVI:24r
744,1735,Undirected,426,,,4,XXVI:33v
1077,1200,Undirected,427,,,1,XXVI:24r
1077,1450,Undirected,428,,,1,XXVI:24r
1077,1533,Undirected,429,,,1,XXVI:24r
1077,1557,Undirected,430,,,1,XXVI:24r
1077,1735,Undirected,431,,,4,XXVI:33v
1200,1450,Undirected,432,,,2,XXVI:24v
1200,1533,Undirected,433,,,2,XXVI:13v
1200,1557,Undirected,434,,,5,XXVI:37v
1200,1735,Undirected,435,,,7,XXVI:39r
1450,1533,Undirected,436,,,1,XXVI:24r
1450,1557,Undirected,437,,,2,XXVI:24v
1450,1735,Undirected,438,,,2,XXVI:24v
1533,1557,Undirected,439,,,5,XXVI:41v
1533,1735,Undirected,440,,,5,XXVI:41v
1557,1735,Undirected,441,,,9,XXVI:41v
224,243,Undirected,442,,,4,XXV:329v
224,541,Undirected,443,,,1,XXV:303v
224,905,Undirected,444,,,1,XXV:303v
224,928,Undirected,445,,,4,XXV:329v
224,1029,Undirected,446,,,4,XXV:329v
224,1034,Undirected,447,,,1,XXV:303v
224,1097,Undirected,448,,,4,XXV:329v
224,1338,Undirected,449,,,3,XXV:329v
224,1392,Undirected,450,,,1,XXV:303v
224,1588,Undirected,451,,,1,XXV:303v
224,1670,Undirected,452,,,1,XXV:303v
243,541,Undirected,453,,,1,XXV:303v
243,905,Undirected,454,,,1,XXV:303v
243,928,Undirected,455,,,2,XXV:329v
243,1029,Undirected,456,,,3,XXV:329v
243,1034,Undirected,457,,,1,XXV:303v
243,1097,Undirected,458,,,5,XXV:329v
243,1338,Undirected,459,,,4,XXV:329v
243,1392,Undirected,460,,,1,XXV:303v
243,1588,Undirected,461,,,1,XXV:303v
243,1670,Undirected,462,,,1,XXV:303v
541,905,Undirected,463,,,1,XXV:303v
541,928,Undirected,464,,,1,XXV:303v
541,1029,Undirected,465,,,1,XXV:303v
541,1034,Undirected,466,,,1,XXV:303v
541,1097,Undirected,467,,,1,XXV:303v
541,1338,Undirected,468,,,1,XXV:303v
541,1392,Undirected,469,,,1,XXV:303v
541,1588,Undirected,470,,,1,XXV:303v
541,1670,Undirected,471,,,1,XXV:303v
905,928,Undirected,472,,,1,XXV:303v
905,1097,Undirected,475,,,1,XXV:303v
905,1338,Undirected,476,,,1,XXV:303v
905,1392,Undirected,477,,,1,XXV:303v
905,1670,Undirected,479,,,1,XXV:303v
928,1029,Undirected,480,,,4,XXV:144v
928,1034,Undirected,481,,,1,XXV:303v
928,1097,Undirected,482,,,2,XXV:329v
928,1338,Undirected,483,,,3,XXV:300r
928,1392,Undirected,484,,,2,XXV:144v
928,1588,Undirected,485,,,1,XXV:303v
928,1670,Undirected,486,,,1,XXV:303v
1029,1097,Undirected,488,,,3,XXV:329v
1029,1338,Undirected,489,,,3,XXV:329v
1029,1392,Undirected,490,,,2,XXV:144v
1029,1670,Undirected,492,,,1,XXV:303v
1034,1097,Undirected,493,,,1,XXV:303v
1034,1338,Undirected,494,,,1,XXV:303v
1034,1392,Undirected,495,,,1,XXV:303v
1034,1670,Undirected,497,,,1,XXV:303v
1097,1338,Undirected,498,,,3,XXV:329v
1097,1392,Undirected,499,,,1,XXV:303v
1097,1588,Undirected,500,,,1,XXV:303v
1097,1670,Undirected,501,,,1,XXV:303v
1338,1392,Undirected,502,,,1,XXV:303v
1338,1588,Undirected,503,,,1,XXV:303v
1338,1670,Undirected,504,,,1,XXV:303v
1392,1588,Undirected,505,,,1,XXV:303v
1392,1670,Undirected,506,,,1,XXV:303v
1588,1670,Undirected,507,,,1,XXV:303v
145,1141,Undirected,508,,,2,XXVI:57v
145,1276,Undirected,509,,,2,XXVI:57v
145,1619,Undirected,510,,,2,XXVI:57v
1141,1276,Undirected,511,,,2,XXVI:57v
1141,1619,Undirected,512,,,2,XXVI:57v
1276,1619,Undirected,513,,,2,XXVI:57v
327,634,Undirected,514,,,2,XXV:76v
327,1256,Undirected,515,,,4,XXV:124r
327,1481,Undirected,516,,,1,XXV:120r
327,1758,Undirected,517,,,2,XXV:76v
634,1256,Undirected,518,,,3,XXV:120v
634,1481,Undirected,519,,,1,XXV:120r
634,1758,Undirected,520,,,3,XXV:120v
1481,1758,Undirected,523,,,1,XXV:120r
264,321,Undirected,524,,,1,XXVI:56r
264,561,Undirected,525,,,2,XXVI:55v
264,836,Undirected,526,,,2,XXVI:55v
264,971,Undirected,527,,,2,XXVI:55v
264,1141,Undirected,528,,,1,XXVI:56r
264,1704,Undirected,529,,,1,XXVI:56r
321,561,Undirected,530,,,1,XXVI:56r
321,836,Undirected,531,,,1,XXVI:56r
321,971,Undirected,532,,,1,XXVI:56r
321,1141,Undirected,533,,,2,XXVI:58r
321,1704,Undirected,534,,,1,XXVI:56r
561,836,Undirected,535,,,3,XXVI:55v
561,971,Undirected,536,,,2,XXVI:55v
561,1141,Undirected,537,,,1,XXVI:56r
561,1704,Undirected,538,,,1,XXVI:56r
836,971,Undirected,539,,,2,XXVI:55v
836,1141,Undirected,540,,,1,XXVI:56r
836,1704,Undirected,541,,,1,XXVI:56r
971,1141,Undirected,542,,,1,XXVI:56r
971,1704,Undirected,543,,,1,XXVI:56r
1141,1704,Undirected,544,,,2,XXVI:57r
313,314,Undirected,545,,,6,XXVI:45r
313,321,Undirected,546,,,2,XXVI:48r
313,1014,Undirected,547,,,7,XXVI:45v
313,1338,Undirected,548,,,1,XXVI:48v
314,321,Undirected,549,,,1,XXVI:48v
314,1014,Undirected,550,,,5,XXVI:49r
314,1338,Undirected,551,,,2,XXV:309v
321,1014,Undirected,552,,,1,XXVI:48v
321,1338,Undirected,553,,,1,XXVI:48v
1014,1338,Undirected,554,,,1,XXVI:48v
290,889,Undirected,555,,,1,XXV:75r
290,895,Undirected,556,,,3,XXV:107v
290,1078,Undirected,557,,,3,XXV:107v
290,1225,Undirected,558,,,4,XXV:108r
290,1609,Undirected,559,,,11,XXV:69r
889,895,Undirected,560,,,1,XXV:75r
889,1078,Undirected,561,,,1,XXV:75r
889,1225,Undirected,562,,,1,XXV:75r
889,1609,Undirected,563,,,1,XXV:75r
895,1078,Undirected,564,,,3,XXV:107v
895,1225,Undirected,565,,,2,XXV:108r
895,1609,Undirected,566,,,1,XXV:75r
1078,1225,Undirected,567,,,2,XXV:108r
1078,1609,Undirected,568,,,1,XXV:75r
